City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,stanley,54.868,-1.6985,18.27,71,40,4.63,GB,1689433814
1,waitangi,-43.9535,-176.5597,8.23,91,100,1.34,NZ,1689433814
2,craig,40.5153,-107.5464,18.79,42,0,0.0,US,1689433814
3,san patricio,28.017,-97.5169,32.92,49,21,6.71,US,1689433814
4,peniche,39.3558,-9.3811,25.16,71,46,7.13,PT,1689433814
5,inhambane,-23.865,35.3833,21.99,68,20,2.57,MZ,1689433814
6,xilin hot,43.9667,116.0333,17.03,50,100,2.33,CN,1689433815
7,lebu,-37.6167,-73.65,9.06,73,48,2.78,CL,1689433815
8,brookings,44.3114,-96.7984,20.77,83,0,3.6,US,1689433230
9,sevastopol,44.6,33.5333,26.11,45,37,2.68,UA,1689433815
10,urangan,-25.3,152.9,19.41,69,100,4.11,AU,1689433816
11,kasungu,-13.0333,33.4833,22.03,37,0,3.7,MW,1689433816
12,fort abbas,29.1925,72.8536,33.62,49,72,4.29,PK,1689433816
13,cuito,-12.3833,16.9333,26.0,19,3,3.0,AO,1689433816
14,puerto natales,-51.7236,-72.4875,1.25,75,20,2.06,CL,1689433816
15,la passe,45.5549,-0.8967,21.68,60,93,7.29,FR,1689433816
16,el calafate,-50.3408,-72.2768,-1.83,82,51,0.64,AR,1689433817
17,bethel,41.3712,-73.414,28.97,78,75,1.54,US,1689433664
18,isafjordur,66.0755,-23.124,6.02,93,100,7.72,IS,1689433817
19,haiku-pauwela,20.9219,-156.3051,22.25,81,100,7.2,US,1689433817
20,fort bragg,35.139,-79.006,28.32,83,100,2.24,US,1689433817
21,kapuskasing,49.4169,-82.4331,22.74,64,77,3.83,CA,1689433817
22,port-aux-francais,-49.35,70.2167,2.23,55,59,9.49,TF,1689433817
23,fuglafjordur,62.244,-6.814,13.26,93,100,10.29,FO,1689433817
24,campbell river,50.0163,-125.2446,18.48,61,87,1.3,CA,1689433817
25,yuzhno-kurilsk,44.0306,145.8556,13.75,93,100,2.21,RU,1689433818
26,hithadhoo,-0.6,73.0833,28.48,72,3,1.5,MV,1689433818
27,midleton,51.9153,-8.1805,16.74,83,100,9.12,IE,1689433818
28,swakopmund,-22.6833,14.5333,16.1,73,0,3.13,NA,1689433818
29,nemuro,43.3236,145.575,14.14,98,100,4.99,JP,1689433818
30,cabo san lucas,22.8909,-109.9124,32.01,68,75,2.06,MX,1689433555
31,kavaratti,10.5669,72.642,28.0,81,100,7.22,IN,1689433818
32,grytviken,-54.2811,-36.5092,-3.77,85,23,2.76,GS,1689433818
33,west island,-12.1568,96.8225,25.99,69,100,6.69,CC,1689433818
34,namibe,-15.1961,12.1522,22.91,48,0,7.27,AO,1689433819
35,aasiaat,68.7098,-52.8699,3.41,97,99,3.52,GL,1689433819
36,mbandaka,0.0487,18.2603,28.66,56,77,1.68,CD,1689433819
37,sao gabriel da cachoeira,-0.1303,-67.0892,31.21,56,40,1.23,BR,1689433819
38,port elizabeth,-33.918,25.5701,18.39,75,0,5.54,ZA,1689433819
39,hermanus,-34.4187,19.2345,18.22,67,92,8.48,ZA,1689433819
40,ushuaia,-54.8,-68.3,2.79,93,99,0.79,AR,1689433819
41,thompson,55.7435,-97.8558,8.19,96,100,3.78,CA,1689433819
42,mubende,0.5606,31.39,24.8,46,83,1.5,UG,1689433765
43,blythe,33.6103,-114.5964,37.25,25,30,4.63,US,1689433819
44,bredasdorp,-34.5322,20.0403,15.81,54,100,4.96,ZA,1689433820
45,vilyuchinsk,52.9306,158.4028,10.55,94,28,1.28,RU,1689433820
46,iskateley,67.6803,53.1512,23.39,45,16,1.8,RU,1689433820
47,vila franca do campo,37.7167,-25.4333,21.23,65,64,3.57,PT,1689433820
48,avarua,-21.2078,-159.775,22.03,100,63,1.03,CK,1689433820
49,wailua homesteads,22.0669,-159.378,23.44,88,100,7.72,US,1689433820
50,adamstown,-25.066,-130.1015,22.0,75,55,9.17,PN,1689433684
51,carnarvon,-24.8667,113.6333,16.07,35,0,7.52,AU,1689433797
52,sitka,57.0531,-135.33,12.94,94,100,0.0,US,1689433820
53,bousso,10.4795,16.7117,26.3,67,100,3.4,TD,1689433820
54,grand baie,-20.0182,57.5802,23.58,73,43,1.34,MU,1689433826
55,albany,42.6001,-73.9662,27.67,80,81,0.89,US,1689433579
56,pskov,57.8136,28.3496,23.95,46,0,4.02,RU,1689433827
57,saint-philippe,-21.3585,55.7679,21.77,87,97,8.34,RE,1689433827
58,alvorada,-12.48,-49.1247,35.96,20,2,1.9,BR,1689433827
59,college,64.8569,-147.8028,13.66,91,100,2.57,US,1689433793
60,ilulissat,69.2167,-51.1,9.01,81,75,1.54,GL,1689433489
61,san fernando de apure,7.8878,-67.4724,26.55,88,98,2.05,VE,1689433827
62,greenland,43.0362,-70.8328,28.84,82,75,3.09,US,1689433828
63,hawaiian paradise park,19.5933,-154.9731,21.13,99,20,2.06,US,1689433828
64,paka,4.6374,103.4368,25.96,94,73,0.0,MY,1689433314
65,papatowai,-46.5619,169.4708,10.45,64,100,6.53,NZ,1689433828
66,coquimbo,-29.9533,-71.3436,11.85,100,100,2.06,CL,1689433668
